sample_id,gsm_id,treatment,product_type,donor,well,cell_type,library_layout
SRR37298759,GSM9533332,Stiizy Disposable Skywalker OG,disposable,donor4,1,HBEC,PAIRED
SRR37298760,GSM9533331,Stiizy Disposable Skywalker OG,disposable,donor3,2,HBEC,PAIRED
SRR37298761,GSM9533330,Stiizy Disposable Skywalker OG,disposable,donor3,1,HBEC,PAIRED
SRR37298762,GSM9533329,Stiizy Disposable Skywalker OG,disposable,donor2,2,HBEC,PAIRED
SRR37298763,GSM9533328,Stiizy Disposable Skywalker OG,disposable,donor2,1,HBEC,PAIRED
SRR37298764,GSM9533327,Stiizy Disposable Skywalker OG,disposable,donor1,2,HBEC,PAIRED
SRR37298765,GSM9533326,Stiizy Disposable Skywalker OG,disposable,donor1,1,HBEC,PAIRED
SRR37298766,GSM9533325,Palmetto Disposable BubbaKush,disposable,donor4,2,HBEC,PAIRED
SRR37298767,GSM9533324,Palmetto Disposable BubbaKush,disposable,donor4,1,HBEC,PAIRED
SRR37298768,GSM9533323,Palmetto Disposable BubbaKush,disposable,donor3,2,HBEC,PAIRED
SRR37298769,GSM9533322,Palmetto Disposable BubbaKush,disposable,donor3,1,HBEC,PAIRED
SRR37298770,GSM9533321,Palmetto Disposable BubbaKush,disposable,donor2,2,HBEC,PAIRED
SRR37298771,GSM9533320,Palmetto Disposable BubbaKush,disposable,donor2,1,HBEC,PAIRED
SRR37298772,GSM9533319,Palmetto Disposable BubbaKush,disposable,donor1,2,HBEC,PAIRED
SRR37298773,GSM9533318,Palmetto Disposable BubbaKush,disposable,donor1,1,HBEC,PAIRED
SRR37298774,GSM9533317,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor4,2,HBEC,PAIRED
SRR37298775,GSM9533316,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor4,1,HBEC,PAIRED
SRR37298776,GSM9533315,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor3,2,HBEC,PAIRED
SRR37298777,GSM9533314,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor3,1,HBEC,PAIRED
SRR37298778,GSM9533313,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor2,2,HBEC,PAIRED
SRR37298779,GSM9533312,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor2,1,HBEC,PAIRED
SRR37298780,GSM9533311,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor1,2,HBEC,PAIRED
SRR37298781,GSM9533310,Not Ya Son's Weed Cartridge Grandaddy Purp,distillate,donor1,1,HBEC,PAIRED
SRR37298782,GSM9533309,Palmetto Cartridge Sour Lifter,distillate,donor4,2,HBEC,PAIRED
SRR37298783,GSM9533308,Palmetto Cartridge Sour Lifter,distillate,donor4,1,HBEC,PAIRED
SRR37298784,GSM9533307,Palmetto Cartridge Sour Lifter,distillate,donor3,2,HBEC,PAIRED
SRR37298785,GSM9533306,Palmetto Cartridge Sour Lifter,distillate,donor3,1,HBEC,PAIRED
SRR37298786,GSM9533305,Palmetto Cartridge Sour Lifter,distillate,donor2,2,HBEC,PAIRED
SRR37298787,GSM9533304,Palmetto Cartridge Sour Lifter,distillate,donor2,1,HBEC,PAIRED
SRR37298788,GSM9533303,Palmetto Cartridge Sour Lifter,distillate,donor1,2,HBEC,PAIRED
SRR37298789,GSM9533302,Palmetto Cartridge Sour Lifter,distillate,donor1,1,HBEC,PAIRED
